time,VelocityError,PressureError
0.01,0.00025253817108120325,0.004069576172133254
0.02,0.0005136425431054051,0.002163953989422518
0.03,0.0007556446480630974,0.002435962603319504
0.04,0.0010049306414511474,0.0027118445040605053
0.05,0.0012535414473614304,0.002642529652029848
0.06,0.0015012949632415376,0.0027582265715153324
0.07,0.0017488707529352836,0.002868091131212968
0.08,0.001996062458326427,0.0029691955564937816
0.09,0.002242944768297834,0.0030939594103017234
0.1,0.0024895773837432075,0.0032260667140354663
0.11,0.0027360205568579786,0.003366730036958924
0.12,0.0029823379285940613,0.0035165389969408524
0.13,0.0032286153738063923,0.0036746792386952694
0.14,0.003474930946613479,0.003840218060243836
0.15,0.003721382391202468,0.004013730742154784
0.16,0.003968062663460289,0.004194268433179395
0.17,0.0042150806998400535,0.00438247300830002
0.18,0.004462542109598001,0.004577631090086977
0.19,0.004710565408661543,0.004780480615960376
0.2,0.004959266029749038,0.0049903799885994155
0.21,0.0052087693549472,0.0052080910487915955
0.22,0.0054591975066000595,0.005432929171637645
0.23,0.005710679896884896,0.0056655603768461715
0.24,0.0059633422897594,0.005905159140185867
0.25,0.006217315368610169,0.0061522325528514275
0.26,0.006472725689067154,0.006405809863931449
0.27,0.006729702685336403,0.0066662861702886985
0.28,0.006988371202586094,0.00693263016638791
0.29,0.007248857230751169,0.007205225033732663
0.3,0.0075112817243973935,0.007483063231709162
0.31,0.007775765267469429,0.0077665530956409256
0.32,0.008042422979262028,0.008054698483096215
0.33,0.008311368321830688,0.008347867062247003
0.34,0.00858270898405765,0.008644981354161975
0.35,0.008856550017156418,0.00894626931515349
0.36,0.009132990588647538,0.009250508401499567
0.37,0.00941212656118114,0.009557764194859703
0.38,0.009694047974337733,0.009866692903610428
0.39,0.00997884113926613,0.01017727524436516
0.4,0.010266586693507931,0.010488155129256473
0.41,0.010557361277396548,0.010799336050987068
0.42,0.010851236023541232,0.011109548618597502
0.43,0.011148277884936511,0.011418886048574595
0.44,0.011448548468986323,0.011726199046752853
0.45,0.011752105084361197,0.012031666348309168
0.46,0.012058999891950868,0.012334228143094829
0.47,0.012369280719718857,0.01263409874805922
0.48,0.012682990553674224,0.012930250186526736
0.49,0.013000168122936332,0.01322287898188284
0.5,0.013320847752266177,0.013510958240374599
0.51,0.013645059662131488,0.013794649999679137
0.52,0.013972830167940356,0.014072936612007007
0.53,0.014304181630618893,0.01434597744452148
0.54,0.014639132957975257,0.014612812444367542
0.55,0.014977699203455977,0.014873652605174573
0.56,0.015319892313185306,0.015127648648851173
0.57,0.015665720469139926,0.015375103531783195
0.58,0.016015189009829428,0.01561530297253511
0.59,0.01636829968499036,0.015848645131980105
0.6,0.016725051645750052,0.016074537184012472
0.61,0.01708544078577942,0.016293444734399087
0.62,0.017449460664530618,0.016504863294593723
0.63,0.017817102056363904,0.016709292484418752
0.64,0.018188353669589128,0.016906290064431232
0.65,0.018563201951689066,0.017096373134850414
0.66,0.018941631534553922,0.017279157398416976
0.67,0.019323625296365412,0.01745518281034661
0.68,0.01970916457773177,0.01762413597611763
0.69,0.020098229460202666,0.017786594628885915
0.7,0.020490798870921565,0.017942329323006687
0.71,0.020886850968773716,0.018091961529573264
0.72,0.021286363241577073,0.018235342529879447
0.73,0.021689312827546058,0.018373123300631147
0.74,0.022095676659206753,0.01850521198693088
0.75,0.02250543156404538,0.0186322577408617
0.76,0.022918554487711695,0.01875419064651661
0.77,0.02333502231529468,0.01887162377488761
0.78,0.02375481219805694,0.018984479283733126
0.79,0.024177901130538297,0.019093312348200445
0.8,0.024604266367370734,0.019198024893090852
0.81,0.02503388482914124,0.019299112914854026
0.82,0.0254667335529717,0.019396466805524083
0.83,0.02590278901210108,0.019490541639951005
0.84,0.026342027549073176,0.019581241762584526
0.85,0.026784424710779818,0.019669012715296193
